Corridor,Census_tract,GEOID,Population,Median household income,Per capita income,Poverty count,Poverty rate,Unemployment rate,"# employed, age 16+",Unemployment count,# persons age 25+ graduated high school,# persons age 25+ with Bachelor's degree,Median age,Pop. white,Pop. Black,Pop. 2 or more races,Pop. Hispanic origin,Pop. Asian,Total pop. in occupied housing units by tenure,Total owner-occupied units,Total renter-occupied units,Pop. <18 years,Pop. working age,Pop. 65+ years
Highlandtown,010200,24510010200,"2,858",$106250.00,$57925.00,133,470.00%,130.00%,2086.0,38.0,185.0,951.0,31.9,2515.0,128.0,72.0,92.0,126.0,2331.0,1118.0,293.0,324.0,2308.0,226.0
Brooklyn,020300,24510020300,"3,761",$108026.00,$83545.00,342,910.00%,90.00%,2985.0,32.0,180.0,1089.0,34.0,3091.0,138.0,224.0,263.0,308.0,1376.0,697.0,1455.0,214.0,3144.0,403.0
E Monument St,040100,24510040100,"5,051",$64016.00,$50026.00,626,1240.00%,190.00%,3496.0,98.0,188.0,1681.0,30.0,2179.0,1532.0,298.0,501.0,866.0,322.0,230.0,2854.0,437.0,4444.0,170.0
Hamilton Lauraville,040200,24510040200,984,$43417.00,$19148.00,93,950.00%,170.00%,440.0,17.0,45.0,145.0,23.8,440.0,338.0,68.0,34.0,129.0,0.0,0.0,261.0,22.0,943.0,19.0
E Monument St,060200,24510060200,"3,037",$69034.00,$40668.00,"1,026",3380.00%,510.00%,1516.0,155.0,405.0,477.0,32.5,1469.0,1298.0,84.0,334.0,109.0,1547.0,578.0,505.0,771.0,2116.0,150.0
E Monument St,060300,24510060300,"1,881",$72132.00,$35568.00,339,1800.00%,300.00%,1047.0,56.0,161.0,314.0,31.6,883.0,847.0,66.0,238.0,63.0,854.0,384.0,336.0,414.0,1306.0,161.0
Waverly,060400,24510060400,"1,561",$51089.00,$36510.00,294,1880.00%,100.00%,781.0,15.0,147.0,289.0,31.8,545.0,821.0,77.0,73.0,109.0,418.0,217.0,580.0,239.0,1113.0,209.0
E Monument St,070100,24510070100,"2,966",$43327.00,$14397.00,"1,207",4070.00%,530.00%,825.0,157.0,526.0,111.0,24.5,210.0,2464.0,16.0,411.0,0.0,1116.0,287.0,486.0,1137.0,1547.0,282.0
E Monument St,070200,24510070200,"3,696",$31292.00,$16474.00,"1,575",4260.00%,850.00%,1263.0,316.0,722.0,34.0,28.3,91.0,3595.0,0.0,162.0,10.0,1150.0,385.0,707.0,1170.0,2229.0,297.0
E Monument St,070300,24510070300,900,$36985.00,$21494.00,236,2620.00%,880.00%,362.0,79.0,302.0,32.0,41.9,42.0,749.0,0.0,87.0,0.0,233.0,88.0,205.0,140.0,647.0,113.0
E Monument St,070400,24510070400,"1,601",$24457.00,$17842.00,571,3570.00%,710.00%,582.0,114.0,307.0,233.0,30.9,147.0,1302.0,8.0,43.0,144.0,187.0,56.0,714.0,278.0,1113.0,210.0
Belair Rd,080101,24510080101,"3,869",$66845.00,$38210.00,572,1480.00%,280.00%,1863.0,108.0,795.0,486.0,35.1,1234.0,2366.0,210.0,96.0,28.0,2214.0,828.0,433.0,1034.0,2522.0,313.0
Belair Rd,080102,24510080102,"2,159",$32747.00,$13393.00,870,4030.00%,630.00%,717.0,135.0,624.0,71.0,36.3,71.0,2065.0,6.0,7.0,17.0,854.0,300.0,391.0,597.0,1397.0,165.0
Hampden,080200,24510080200,"1,164",$36375.00,$16501.00,240,2060.00%,870.00%,363.0,101.0,257.0,40.0,40.7,71.0,1093.0,0.0,0.0,0.0,617.0,202.0,238.0,254.0,684.0,226.0
E Monument St,080301,24510080301,"1,759",$31250.00,$17093.00,499,2840.00%,730.00%,563.0,128.0,380.0,65.0,36.7,45.0,1597.0,0.0,143.0,10.0,828.0,287.0,316.0,463.0,1053.0,243.0
E Monument St,080400,24510080400,"1,263",$32772.00,$17576.00,485,3840.00%,890.00%,477.0,112.0,233.0,160.0,40.6,235.0,1022.0,6.0,107.0,0.0,322.0,125.0,278.0,285.0,859.0,119.0
E Monument St,080800,24510080800,"1,583",$53333.00,$19845.00,473,2990.00%,360.00%,443.0,57.0,279.0,46.0,18.6,76.0,1494.0,13.0,12.0,0.0,331.0,115.0,387.0,782.0,724.0,77.0
E Monument St,090100,24510090100,"3,758",$44759.00,$24633.00,788,2100.00%,640.00%,1771.0,240.0,841.0,179.0,42.4,496.0,3119.0,122.0,86.0,21.0,2168.0,856.0,681.0,764.0,2398.0,596.0
Waverly,090300,24510090300,"4,476",$49722.00,$28304.00,"1,022",2280.00%,390.00%,2036.0,176.0,480.0,765.0,42.0,1182.0,3143.0,57.0,202.0,78.0,2416.0,1063.0,845.0,883.0,2781.0,812.0
Waverly,090400,24510090400,"1,520",$32276.00,$16274.00,547,3600.00%,280.00%,643.0,43.0,298.0,91.0,36.1,197.0,1187.0,74.0,181.0,1.0,379.0,150.0,475.0,463.0,945.0,112.0
Waverly,090500,24510090500,"1,747",$44229.00,$22614.00,362,2070.00%,480.00%,774.0,84.0,525.0,124.0,40.3,352.0,1177.0,176.0,9.0,42.0,1001.0,369.0,308.0,391.0,1167.0,189.0
North Ave,090800,24510090800,"2,709",$30972.00,$14907.00,957,3530.00%,930.00%,736.0,252.0,511.0,131.0,44.2,63.0,2583.0,53.0,0.0,10.0,1559.0,526.0,410.0,476.0,1719.0,514.0
Belair Rd,100200,24510100200,"2,858",$16080.00,$11586.00,"1,178",4120.00%,190.00%,666.0,53.0,455.0,39.0,35.6,92.0,2744.0,16.0,32.0,0.0,164.0,89.0,996.0,685.0,1795.0,378.0
Waverly,110100,24510110100,"3,177",$55796.00,$47902.00,506,1590.00%,130.00%,2679.0,42.0,67.0,1124.0,29.7,1752.0,862.0,184.0,121.0,329.0,418.0,293.0,1801.0,63.0,3032.0,82.0
Penn Ave,110200,24510110200,"5,968",$49970.00,$49286.00,"1,057",1770.00%,320.00%,3993.0,191.0,231.0,1558.0,34.5,3439.0,1509.0,458.0,400.0,327.0,1272.0,634.0,3329.0,170.0,4746.0,1052.0
Park Heights,120100,24510120100,"4,787",$64794.00,$64601.00,943,1970.00%,460.00%,2164.0,218.0,245.0,941.0,39.0,2714.0,546.0,249.0,227.0,1226.0,2462.0,1169.0,1182.0,549.0,3069.0,1169.0
Waverly,120201,24510120201,"2,227",$87500.00,$49543.00,306,1370.00%,240.00%,1366.0,53.0,67.0,516.0,31.4,1623.0,425.0,86.0,71.0,83.0,1215.0,521.0,327.0,312.0,1709.0,206.0
Waverly,120202,24510120202,"5,272",$42674.00,$19707.00,590,1120.00%,370.00%,2155.0,196.0,114.0,808.0,21.0,3001.0,548.0,332.0,412.0,1319.0,655.0,357.0,1165.0,210.0,4863.0,199.0
Waverly,120300,24510120300,"4,153",$56750.00,$33409.00,822,1980.00%,330.00%,2433.0,139.0,337.0,887.0,33.3,1751.0,1924.0,220.0,133.0,171.0,1910.0,669.0,931.0,671.0,3166.0,316.0
Penn Ave,120400,24510120400,"1,842",$38445.00,$28189.00,596,3240.00%,400.00%,862.0,74.0,332.0,245.0,31.4,564.0,1253.0,0.0,71.0,11.0,461.0,185.0,534.0,439.0,1280.0,123.0
Penn Ave,120700,24510120700,"2,207",$65365.00,$35817.00,202,920.00%,640.00%,1349.0,141.0,546.0,436.0,34.5,1595.0,487.0,35.0,108.0,65.0,1181.0,576.0,446.0,303.0,1747.0,157.0
E Monument St,130100,24510130100,"2,558",$22464.00,$26976.00,992,3880.00%,60.00%,1108.0,15.0,400.0,371.0,39.1,394.0,2039.0,97.0,43.0,2.0,823.0,306.0,1120.0,466.0,1800.0,292.0
Penn Ave,130300,24510130300,"2,222",$42642.00,$23787.00,618,2780.00%,290.00%,842.0,64.0,541.0,167.0,36.1,100.0,2070.0,0.0,16.0,47.0,1029.0,346.0,475.0,574.0,1384.0,264.0
Brooklyn,130400,24510130400,"2,171",$28550.00,$20855.00,700,3220.00%,430.00%,752.0,94.0,585.0,92.0,39.9,177.0,1902.0,11.0,121.0,7.0,962.0,316.0,425.0,470.0,1475.0,226.0
Hampden,130600,24510130600,"3,614",$103911.00,$56119.00,399,1100.00%,140.00%,2681.0,52.0,111.0,1149.0,34.7,3165.0,201.0,96.0,87.0,133.0,2131.0,968.0,691.0,336.0,3047.0,231.0
Hampden,130700,24510130700,"4,734",$72404.00,$50102.00,369,780.00%,150.00%,2787.0,70.0,642.0,909.0,39.0,4019.0,360.0,132.0,201.0,211.0,2276.0,1087.0,1390.0,531.0,2947.0,1256.0
Hampden,130804,24510130804,"1,993",$67500.00,$43449.00,234,1170.00%,290.00%,1389.0,58.0,186.0,436.0,32.7,1727.0,190.0,14.0,63.0,53.0,1010.0,460.0,486.0,226.0,1607.0,160.0
Penn Ave,140200,24510140200,"2,906",$23295.00,$13362.00,"1,713",5890.00%,430.00%,896.0,125.0,664.0,97.0,25.8,79.0,2776.0,51.0,0.0,0.0,768.0,181.0,645.0,1134.0,1559.0,213.0
Penn Ave,140300,24510140300,"1,932",$37917.00,$28251.00,412,2130.00%,240.00%,914.0,47.0,334.0,116.0,37.6,121.0,1777.0,34.0,8.0,0.0,686.0,292.0,589.0,384.0,1279.0,269.0
Penn Ave,150100,24510150100,"2,172",$17371.00,$18530.00,944,4350.00%,670.00%,628.0,145.0,592.0,44.0,41.3,86.0,2023.0,42.0,0.0,21.0,1014.0,367.0,610.0,448.0,1315.0,409.0
Pigtown,150400,24510150400,"3,824",$31440.00,$13692.00,666,1740.00%,590.00%,1399.0,226.0,743.0,269.0,33.6,26.0,3579.0,182.0,37.0,30.0,1013.0,384.0,815.0,499.0,2806.0,519.0
North Ave,150600,24510150600,"2,726",$27109.00,$18155.00,"1,128",4140.00%,1420.00%,1043.0,388.0,485.0,33.0,37.0,76.0,2609.0,41.0,9.0,0.0,1191.0,345.0,681.0,505.0,1945.0,276.0
North Ave,150702,24510150702,"2,139",$50167.00,$27345.00,478,2230.00%,570.00%,856.0,121.0,479.0,333.0,41.0,18.0,2039.0,64.0,31.0,0.0,1301.0,557.0,239.0,390.0,1339.0,410.0
Penn Ave,150800,24510150800,"4,719",$36446.00,$25294.00,"1,127",2390.00%,570.00%,1754.0,268.0,1244.0,372.0,43.3,23.0,4612.0,33.0,59.0,0.0,2854.0,865.0,921.0,872.0,2923.0,924.0
Park Heights,151300,24510151300,"4,379",$31885.00,$15605.00,"1,227",2800.00%,590.00%,1687.0,257.0,959.0,197.0,40.7,268.0,3754.0,190.0,295.0,31.0,1741.0,550.0,957.0,872.0,2923.0,584.0
Penn Ave,160100,24510160100,"1,936",$29375.00,$19358.00,558,2880.00%,390.00%,781.0,75.0,349.0,89.0,45.9,77.0,1813.0,0.0,25.0,21.0,588.0,200.0,695.0,451.0,1197.0,288.0
Penn Ave,160200,24510160200,"2,479",$22881.00,$15600.00,"1,230",4960.00%,690.00%,828.0,170.0,563.0,36.0,26.2,56.0,2412.0,6.0,21.0,0.0,788.0,268.0,592.0,879.0,1350.0,250.0
Penn Ave,160400,24510160400,"1,937",$23417.00,$12725.00,961,4960.00%,590.00%,593.0,114.0,315.0,20.0,32.7,29.0,1858.0,24.0,0.0,4.0,693.0,314.0,333.0,712.0,970.0,255.0
Pimlico,160600,24510160600,"3,266",$43306.00,$18999.00,783,2400.00%,270.00%,1307.0,89.0,977.0,164.0,40.3,63.0,3090.0,31.0,59.0,0.0,1700.0,470.0,563.0,747.0,2155.0,364.0
Pigtown,160700,24510160700,"4,543",$37870.00,$16176.00,"1,549",3410.00%,1140.00%,1593.0,520.0,1095.0,258.0,30.8,15.0,4491.0,37.0,16.0,0.0,1611.0,614.0,906.0,1211.0,2862.0,470.0
Waverly,170100,24510170100,"1,594",$31088.00,$26352.00,352,2210.00%,150.00%,876.0,24.0,155.0,185.0,34.4,463.0,1051.0,28.0,63.0,28.0,237.0,136.0,745.0,238.0,1207.0,149.0
Penn Ave,170200,24510170200,"2,705",$13841.00,$11230.00,"1,337",4940.00%,350.00%,811.0,96.0,597.0,56.0,28.7,214.0,2354.0,91.0,6.0,46.0,265.0,71.0,1230.0,870.0,1460.0,375.0
Penn Ave,170300,24510170300,"1,767",$20884.00,$22335.00,708,4010.00%,480.00%,714.0,85.0,287.0,114.0,39.7,27.0,1646.0,46.0,74.0,3.0,556.0,294.0,515.0,400.0,1103.0,264.0
Greektown,180100,24510180100,"2,185",$15195.00,$9482.00,"1,259",5760.00%,670.00%,525.0,146.0,567.0,14.0,26.2,5.0,2163.0,0.0,17.0,0.0,124.0,68.0,880.0,841.0,1192.0,152.0
Penn Ave,180200,24510180200,947,$25398.00,$20478.00,307,3240.00%,460.00%,367.0,44.0,152.0,77.0,44.6,108.0,816.0,11.0,35.0,12.0,330.0,115.0,262.0,127.0,616.0,204.0
Pigtown,180300,24510180300,"1,732",$50761.00,$34592.00,421,2430.00%,480.00%,1078.0,83.0,357.0,284.0,31.4,789.0,822.0,104.0,58.0,12.0,719.0,306.0,520.0,214.0,1448.0,70.0
North Ave,190300,24510190300,"2,158",$17925.00,$11154.00,"1,149",5320.00%,900.00%,511.0,195.0,365.0,34.0,30.0,697.0,1311.0,10.0,38.0,101.0,467.0,183.0,542.0,699.0,1255.0,204.0
E Monument St,200300,24510200300,"1,356",$20820.00,$13159.00,707,5210.00%,850.00%,349.0,115.0,285.0,36.0,31.2,316.0,829.0,102.0,67.0,27.0,317.0,114.0,365.0,351.0,930.0,75.0
Penn Ave,200600,24510200600,"2,311",$39159.00,$19781.00,309,1340.00%,840.00%,1009.0,193.0,557.0,72.0,32.9,485.0,1650.0,114.0,146.0,40.0,950.0,394.0,453.0,541.0,1528.0,242.0
North Ave,200701,24510200701,"4,797",$39208.00,$20051.00,"1,030",2150.00%,720.00%,1876.0,346.0,1024.0,194.0,35.7,99.0,4677.0,15.0,24.0,0.0,2193.0,882.0,916.0,1021.0,2992.0,784.0
Irvington,200702,24510200702,"1,026",$44830.00,$20681.00,257,2500.00%,210.00%,465.0,22.0,233.0,54.0,42.8,7.0,1019.0,0.0,0.0,0.0,514.0,241.0,152.0,255.0,629.0,142.0
